taxon,sp,dec_region,our_term,dec_value,ref_ids,ref_is_stephan,status,flag,matched_source,matched_variable,matched_sp,matched_value,pct_diff,mismatch_source,mismatch_value,mismatch_pct
Ateles_geoffroyi,ateles geoffroyi,Subthalamic Nucleus,Nucleus_subthalamicus_Vol.mm3,52.8,24;51;52,TRUE,match,match,Stephan_etal_1981_TableVIII,Nucleus_subthalamicus_Vol.mm3,ateles geoffroyi,52.8,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,Optic Tract,Tractus_opticus_Vol.mm3,204,24;51;52,TRUE,match,match,Stephan_etal_1981_TableVIII,Tractus_opticus_Vol.mm3,ateles geoffroyi,204,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,LGN,Corpus_geniculatum_laterale_Vol.mm3,151,24;51;52,TRUE,match,match,Stephan_etal_1981_TableIX,Corpus_geniculatum_laterale_Vol.mm3,ateles geoffroyi,151,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,BV,Total_brain_net_volume_Vol.mm3,72410,54;55,FALSE,match_taxonomy_variant,match_taxonomy_variant,Bush_Allman_2004_b_TABLE1,Total_brain_net_volume_Vol.mm3,ateles sp,72410,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,Neocortex (GM+WM),Neocortex_Vol.mm3,48880,54;55,FALSE,match_taxonomy_variant,match_taxonomy_variant,Bush_Allman_2004_a_Table2,Neocortex_Vol.mm3,ateles sp,48880,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,Neocortex (GM),Neocortex_grey_matter_Vol.mm3,30930,54;55,FALSE,match_taxonomy_variant,match_taxonomy_variant,Bush_Allman_2004_b_TABLE1,Neocortex_grey_matter_Vol.mm3,ateles sp,30930,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,V1 (GM),Area_striata_grey_matter_Vol.mm3,3130,54;55,FALSE,match_taxonomy_variant,match_taxonomy_variant,Bush_Allman_2004_b_TABLE1,Area_striata_grey_matter_Vol.mm3,ateles sp,3130,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,LGN,Corpus_geniculatum_laterale_Vol.mm3,120,54;55,FALSE,match_taxonomy_variant,match_taxonomy_variant,Bush_Allman_2004_b_TABLE1,Corpus_geniculatum_laterale_Vol.mm3,ateles sp,120,0,NA,NA,NA
Ateles_paniscus,ateles paniscus,BV,Total_brain_net_volume_Vol.mm3,71800,61,FALSE,match,match,MacLeod_specimen,Total_brain_net_volume_Vol.mm3,ateles paniscus,71800,0,NA,NA,NA
Ateles_paniscus,ateles paniscus,Cerebellum,Cerebellum_Vol.mm3,8700,61,FALSE,match,match,MacLeod_specimen,Cerebellum_Vol.mm3,ateles paniscus,8700,0,NA,NA,NA
