Class,Order,Taxon,T,BM,Tb min,TMRmin,TMRrel,TBDmax,TBDmean,IBE,LAT,References
MAMMALIA,Rodentia,Chalinolobus gouldii,HIB,0.018,5,0.05,3,—,—,—,−27.37,Hosken & Withers (1997)
MAMMALIA,Rodentia,Corynorhinus rafinesquii,HIB,0.01,13.9,—,—,—,58,—,32.8,Johnson (2012)
MAMMALIA,Rodentia,Eptesicus fuscus,HIB,0.0147,1,0.03,3,600,488,2,31.15,"Kulzer (1965), French (1985) and Willis"
MAMMALIA,Rodentia,Glossophaga soricina,DT,0.01,21,0.23,9,17.5,11.4,—,−2.61,Kelm & von Helversen (2007)
MAMMALIA,Rodentia,Hipposideros terasensis,HIB,0.057,13.8,0.046,7,456,185,1.8,17.13,"Liu & Karasov (2011, 2012)"
MAMMALIA,Rodentia,Lasiurus borealis,HIB,0.011,3,0.035,2,260,190,2.83,36.39,Dunbar & Tomasi (2006)
MAMMALIA,Rodentia,Lasiurus cinereus,HIB,0.033,2,—,—,135,105,—,12.6,"Cryan & Wolf (2003) and Willis,"
MAMMALIA,Rodentia,Macroglossus minimus,DT,0.016,21.6,0.52,40,9.5,6.7,—,−1.28,"Bartels, Law & Geiser (1998)"
MAMMALIA,Rodentia,Megaloglossus woermanni,DT,0.012,26.2,0.8,50,—,—,—,−1.12,Kulzer & Storf (1980)
MAMMALIA,Rodentia,Miniopterus schreibersii,HIB,0.015,5,—,—,288,—,—,5.87,Hall (1982) and Brown & Bernard
MAMMALIA,Rodentia,Mops condylurus,HIB,0.029,13,—,—,—,—,—,−5.77,Vivier & van der Merwe (2011)
MAMMALIA,Rodentia,Myotis adversus,HIB,0.0078,9,—,—,192,—,—,4.84,Kulzer et al. (1970)
MAMMALIA,Rodentia,Myotis lucifugus,HIB,0.0052,1.3,0.022,1,1152,314,2.4,43,Hock (1951) and Jonasson & Willis
MAMMALIA,Rodentia,Myotis myotis,HIB,0.025,2,0.04,3,2352,989,—,47.44,"Pohl (1961), Harmata (1987) and"
MAMMALIA,Rodentia,Myotis nattereri,HIB,0.009,7,—,—,490,160,—,46.05,Hope & Jones (2012)
MAMMALIA,Rodentia,Myotis velifer,HIB,0.012,0.6,0.04,3,—,—,—,27.11,Tinkle & Patterson (1965) and Riedesel
MAMMALIA,Rodentia,Nyctalus noctula,HIB,0.029,3,0.036,2,—,192,—,39.16,Ransome (1990) and Arlettaz et al.
