key,Species,col,snap,csv_col,csv,match
avahillaniger,Avahi l. laniger,Septum,69.7,NA,NA,FALSE
avahillaniger,Avahi l. laniger,Striatum,524,NA,NA,FALSE
avahillaniger,Avahi l. laniger,Schizo_cortex,241,NA,NA,FALSE
avahillaniger,Avahi l. laniger,Hippocampus,526,NA,NA,FALSE
avahillaniger,Avahi l. laniger,Neocortex,4813,NA,NA,FALSE
avahillaniger,Avahi l. laniger,Area_striata,537,NA,NA,FALSE
avahillaniger,Avahi l. laniger,Corpus_geniculatum_laterale,27.4,NA,NA,FALSE
avahillaniger,Avahi l. laniger,Nucleus_septalis_triangularis,1.29,NA,NA,FALSE
avahillaniger,Avahi l. laniger,Corpus_subfornicale,0.116,NA,NA,FALSE
avahillaniger,Avahi l. laniger,Nucleus_habenularis_medialis,2.21,NA,NA,FALSE
avahillaniger,Avahi l. laniger,Corpus_pineal,0.7,NA,NA,FALSE
avahillaniger,Avahi l. laniger,Corpus_subcommissurale,0.14,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Body_weight,860,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Brain_weight,9670,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Ventricles,73.7,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Meninges_hypophysis_nerves_etc.,137,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Total_brain_net_volume,9124,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Medulla_oblongata,508,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Cerebellum,1383,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Mesencephalon,345,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Diencephalon,861,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Telencephalon,6026,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Bulbus_olfactorius,70.1,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Bulbus_olfactorius_accessorius,2.55,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Lobus_piriformis,265,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Septum,69.3,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Striatum,478,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Schizo_cortex,222,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Hippocampus,476,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Neocortex,4443,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Epithalamus,6.52,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Thalamus,489,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Hypothalamus,137,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Subthalamus,80.5,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Pallidum,74.5,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Nucleus_subthalamicus,5.94,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Capsula_interna,105,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Tractus_opticus,38.3,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Area_striata,485,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Corpus_geniculatum_laterale,27.2,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Complexus_vestibularis,18.1,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Nucleus_vestibularis_superior,3.1,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Nucleus_vestibularis_lateralis,3.32,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Nucleus_vestibularis_medialis,6.859999999999999,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Nucleus_vestibularis_descendens,4.81,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Nucleus_septalis_triangularis,0.988,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Corpus_subfornicale,0.188,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Nucleus_habenularis_medialis,2.04,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Corpus_pineal,0.652,NA,NA,FALSE
avahilanigeroccidentalis,Avahi laniger occidentalis,Corpus_subcommissurale,0.09420000000000002,NA,NA,FALSE
daubentoniamadagascar,Daubentonia madagascar.,Body_weight,2800,NA,NA,FALSE
daubentoniamadagascar,Daubentonia madagascar.,Brain_weight,45150,NA,NA,FALSE
daubentoniamadagascar,Daubentonia madagascar.,Ventricles,392,NA,NA,FALSE
daubentoniamadagascar,Daubentonia madagascar.,Meninges_hypophysis_nerves_etc.,578,NA,NA,FALSE
daubentoniamadagascar,Daubentonia madagascar.,Total_brain_net_volume,42611,NA,NA,FALSE
daubentoniamadagascar,Daubentonia madagascar.,Medulla_oblongata,1517,NA,NA,FALSE
daubentoniamadagascar,Daubentonia madagascar.,Cerebellum,6461,NA,NA,FALSE
daubentoniamadagascar,Daubentonia madagascar.,Mesencephalon,897,NA,NA,FALSE
daubentoniamadagascar,Daubentonia madagascar.,Diencephalon,3539,NA,NA,FALSE
