Species,Structure,Measure,published,unpublished,pct_diff,flag
Elephantulus myurus,Cerebellum,I/N,NA,0.009285262451131577,NA,NA
Elephantulus myurus,Cerebellum,I/mg,NA,4917.854596846771,NA,NA
Elephantulus myurus,Cerebellum,N,NA,89312371.66666667,NA,NA
Elephantulus myurus,Cerebellum,N/mg,NA,531536.73102944,NA,NA
Elephantulus myurus,Cerebellum,Structure mass (g),NA,0.168,NA,NA
Elephantulus myurus,"Cerebral Cx, total - hp",C,NA,34554000,NA,NA
Elephantulus myurus,"Cerebral Cx, total - hp",I,NA,581224,NA,NA
Elephantulus myurus,"Cerebral Cx, total - hp",I/C,NA,0.0168,NA,NA
Elephantulus myurus,"Cerebral Cx, total - hp",I/N,NA,0.03532124149473564,NA,NA
Elephantulus myurus,"Cerebral Cx, total - hp",I/mg,NA,1630.8853801261414,NA,NA
Elephantulus myurus,"Cerebral Cx, total - hp",N,NA,16422813.533333333,NA,NA
Elephantulus myurus,"Cerebral Cx, total - hp",N/mg,NA,46225.33759025175,NA,NA
Elephantulus myurus,"Cerebral Cx, total - hp",Structure mass (g),NA,0.35533333333333333,NA,NA
Elephantulus myurus,"Cerebral cortex, total (GM+WM+hippoc)",C,NA,52094000,NA,NA
Elephantulus myurus,"Cerebral cortex, total (GM+WM+hippoc)",I,NA,1052128.0000000002,NA,NA
Elephantulus myurus,"Cerebral cortex, total (GM+WM+hippoc)",I/C,NA,0.022400000000000003,NA,NA
Elephantulus myurus,"Cerebral cortex, total (GM+WM+hippoc)",I/N,NA,0.0481583613135838,NA,NA
Elephantulus myurus,"Cerebral cortex, total (GM+WM+hippoc)",I/mg,NA,2338.0622222222228,NA,NA
Elephantulus myurus,"Cerebral cortex, total (GM+WM+hippoc)",N,NA,25865697.666666668,NA,NA
Elephantulus myurus,"Cerebral cortex, total (GM+WM+hippoc)",N/mg,NA,54696.595044631234,NA,NA
Elephantulus myurus,"Cerebral cortex, total (GM+WM+hippoc)",Structure mass (g),NA,0.4713333333333333,NA,NA
Elephantulus myurus,Hippocampus,C,NA,17540000,NA,NA
Elephantulus myurus,Hippocampus,I,NA,353944.00000000006,NA,NA
Elephantulus myurus,Hippocampus,I/C,NA,0.029300000000000003,NA,NA
Elephantulus myurus,Hippocampus,I/N,NA,0.06860220088972138,NA,NA
Elephantulus myurus,Hippocampus,I/mg,NA,4115.627906976745,NA,NA
Elephantulus myurus,Hippocampus,N,NA,9442884,NA,NA
Elephantulus myurus,Hippocampus,N/mg,NA,78471.08731091606,NA,NA
Elephantulus myurus,Hippocampus,Structure mass (g),NA,0.11599999999999999,NA,NA
Elephantulus myurus,Rest of brain,C,NA,43010000,NA,NA
Elephantulus myurus,Rest of brain,I,NA,1325232.8,NA,NA
Elephantulus myurus,Rest of brain,I/C,NA,0.030933333333333334,NA,NA
Elephantulus myurus,Rest of brain,I/N,NA,0.09448386085299826,NA,NA
Elephantulus myurus,Rest of brain,I/mg,NA,3273.229790824325,NA,NA
Elephantulus myurus,Rest of brain,N,NA,14012532.8,NA,NA
Elephantulus myurus,Rest of brain,N/mg,NA,34632.01857371308,NA,NA
Elephantulus myurus,Rest of brain,Structure mass (g),NA,0.4013333333333334,NA,NA
Elephantulus myurus,Whole brain,C,NA,207785000,NA,NA
Elephantulus myurus,Whole brain,I,NA,2699666.4,NA,NA
Elephantulus myurus,Whole brain,I/C,NA,0.0138,NA,NA
Elephantulus myurus,Whole brain,I/N,NA,0.021637782254965494,NA,NA
Elephantulus myurus,Whole brain,I/mg,NA,2818.023382045929,NA,NA
Elephantulus myurus,Whole brain,N,NA,129190601.66666667,NA,NA
Elephantulus myurus,Whole brain,N/mg,NA,124514.77429687299,NA,NA
Elephantulus myurus,Whole brain,Structure mass (g),NA,1.04,NA,NA
Felis catus,Cerebellum,C,NA,1269000000,NA,NA
Felis catus,Cerebellum,I,NA,21826800,NA,NA
Felis catus,Cerebellum,I/C,NA,0.0172,NA,NA
Felis catus,Cerebellum,I/N,NA,0.023148525479927993,NA,NA
Felis catus,Cerebellum,I/mg,NA,4271.389432485323,NA,NA
Felis catus,Cerebellum,N,NA,942902390,NA,NA
Felis catus,Cerebellum,N/mg,NA,184521.0156555773,NA,NA
Felis catus,Cerebellum,Structure mass (g),NA,5.11,NA,NA
Felis catus,"Cerebral cortex, total (GM+WM+hippoc)",C,NA,1346938750,NA,NA
Felis catus,"Cerebral cortex, total (GM+WM+hippoc)",I,NA,73677549.625,NA,NA
Felis catus,"Cerebral cortex, total (GM+WM+hippoc)",I/C,NA,0.0547,NA,NA
Felis catus,"Cerebral cortex, total (GM+WM+hippoc)",I/N,NA,0.29490578473492873,NA,NA
Felis catus,"Cerebral cortex, total (GM+WM+hippoc)",I/mg,NA,3047.549206858041,NA,NA
Felis catus,"Cerebral cortex, total (GM+WM+hippoc)",N,NA,249834196,NA,NA
Felis catus,"Cerebral cortex, total (GM+WM+hippoc)",N/mg,NA,10333.975678358704,NA,NA
Felis catus,"Cerebral cortex, total (GM+WM+hippoc)",Structure mass (g),NA,24.176,NA,NA
Felis catus,"Cerebral cortex, total -hp",C,NA,1282938750,NA,NA
Felis catus,"Cerebral cortex, total -hp",I,NA,71716276.125,NA,NA
Felis catus,"Cerebral cortex, total -hp",I/C,NA,0.0559,NA,NA
Felis catus,"Cerebral cortex, total -hp",I/N,NA,0.296610182205863,NA,NA
Felis catus,"Cerebral cortex, total -hp",I/mg,NA,3077.9517650214593,NA,NA
Felis catus,"Cerebral cortex, total -hp",N,NA,241786292,NA,NA
Felis catus,"Cerebral cortex, total -hp",N/mg,NA,10377.09407725322,NA,NA
Felis catus,"Cerebral cortex, total -hp",Structure mass (g),NA,23.3,NA,NA
Felis catus,Hippocampus,C,NA,64000000,NA,NA
Felis catus,Hippocampus,I,NA,1952000,NA,NA
Felis catus,Hippocampus,I/C,NA,0.0305,NA,NA
Felis catus,Hippocampus,I/N,NA,0.2425476248225625,NA,NA
Felis catus,Hippocampus,I/mg,NA,2228.310502283105,NA,NA
Felis catus,Hippocampus,N,NA,8047904,NA,NA
Felis catus,Hippocampus,N/mg,NA,9187.10502283105,NA,NA
Felis catus,Hippocampus,Structure mass (g),NA,0.876,NA,NA
Felis catus,Pons + Medulla,C,NA,109750000,NA,NA
Felis catus,Pons + Medulla,I,NA,3248600,NA,NA
Felis catus,Pons + Medulla,I/C,NA,0.0296,NA,NA
Felis catus,Pons + Medulla,I/N,NA,0.8419556510240779,NA,NA
Felis catus,Pons + Medulla,I/mg,NA,1586.23046875,NA,NA
Felis catus,Pons + Medulla,N,NA,3858398,NA,NA
Felis catus,Pons + Medulla,N/mg,NA,1883.9833984375,NA,NA
Felis catus,Pons + Medulla,Structure mass (g),NA,2.048,NA,NA
Felis catus,Rest of brain,C,NA,328062500,NA,NA
Felis catus,Rest of brain,I,NA,10202743.75,NA,NA
Felis catus,Rest of brain,I/C,NA,0.0311,NA,NA
Felis catus,Rest of brain,I/N,NA,0.45400900734130933,NA,NA
Felis catus,Rest of brain,I/mg,NA,1831.0738962670496,NA,NA
Felis catus,Rest of brain,N,NA,22472558,NA,NA
Felis catus,Rest of brain,N/mg,NA,4033.1223977028,NA,NA
Felis catus,Rest of brain,Structure mass (g),NA,5.572,NA,NA
Felis catus,Whole brain,C,NA,2944001250,NA,NA
Felis catus,Whole brain,I,NA,105689644.875,NA,NA
Felis catus,Whole brain,I/C,NA,0.0359,NA,NA
Felis catus,Whole brain,I/N,NA,0.08697239104629384,NA,NA
Felis catus,Whole brain,I/mg,NA,3032.005418411842,NA,NA
Felis catus,Whole brain,N,NA,1215209144,NA,NA
Felis catus,Whole brain,N/mg,NA,34861.70015491422,NA,NA
Felis catus,Whole brain,Structure mass (g),NA,34.858,NA,NA
Giraffa camelopardalis,Cerebellum,C,NA,14398437500,NA,NA
Giraffa camelopardalis,Cerebellum,I,NA,298047656.25,NA,NA
Giraffa camelopardalis,Cerebellum,I/C,NA,0.0207,NA,NA
Giraffa camelopardalis,Cerebellum,I/N,NA,0.03357119688614986,NA,NA
Giraffa camelopardalis,Cerebellum,I/mg,NA,4400.526446921601,NA,NA
Giraffa camelopardalis,Cerebellum,N,NA,8878076562.499998,NA,NA
Giraffa camelopardalis,Cerebellum,N/mg,NA,131080.41580540378,NA,NA
Giraffa camelopardalis,Cerebellum,Structure mass (g),NA,67.73,NA,NA
Giraffa camelopardalis,"Cerebral Cx, total - hp",C,NA,28341393752,NA,NA
Giraffa camelopardalis,"Cerebral Cx, total - hp",I,NA,2440194002.0471997,NA,NA
Giraffa camelopardalis,"Cerebral Cx, total - hp",I/C,NA,0.0861,NA,NA
Giraffa camelopardalis,"Cerebral Cx, total - hp",I/N,NA,1.4150789681489035,NA,NA
Giraffa camelopardalis,"Cerebral Cx, total - hp",I/mg,NA,6277.5754073596145,NA,NA
Giraffa camelopardalis,"Cerebral Cx, total - hp",N,NA,1724422493,NA,NA
Giraffa camelopardalis,"Cerebral Cx, total - hp",N/mg,NA,4436.201476141965,NA,NA
Giraffa camelopardalis,"Cerebral Cx, total - hp",Structure mass (g),NA,388.716,NA,NA
Giraffa camelopardalis,"Cerebral cortex, total (GM+WM+hippoc)",C,NA,29022643752,NA,NA
Giraffa camelopardalis,"Cerebral cortex, total (GM+WM+hippoc)",I,NA,2504654155.7976003,NA,NA
Giraffa camelopardalis,"Cerebral cortex, total (GM+WM+hippoc)",I/C,NA,0.0863,NA,NA
Giraffa camelopardalis,"Cerebral cortex, total (GM+WM+hippoc)",I/N,NA,1.4047336614100514,NA,NA
Giraffa camelopardalis,"Cerebral cortex, total (GM+WM+hippoc)",I/mg,NA,6330.287355868393,NA,NA
Giraffa camelopardalis,"Cerebral cortex, total (GM+WM+hippoc)",N,NA,1783009993,NA,NA
Giraffa camelopardalis,"Cerebral cortex, total (GM+WM+hippoc)",N/mg,NA,4506.396856407742,NA,NA
Giraffa camelopardalis,"Cerebral cortex, total (GM+WM+hippoc)",Structure mass (g),NA,395.662,NA,NA
Giraffa camelopardalis,Hippocampus,C,NA,681250000,NA,NA
Giraffa camelopardalis,Hippocampus,I,NA,64786875,NA,NA
Giraffa camelopardalis,Hippocampus,I/C,NA,0.0951,NA,NA
Giraffa camelopardalis,Hippocampus,I/N,NA,1.1058139534883722,NA,NA
Giraffa camelopardalis,Hippocampus,I/mg,NA,9327.220702562627,NA,NA
Giraffa camelopardalis,Hippocampus,N,NA,58587499.99999999,NA,NA
Giraffa camelopardalis,Hippocampus,N/mg,NA,8434.71062482004,NA,NA
Giraffa camelopardalis,Hippocampus,Structure mass (g),NA,6.946,NA,NA
Giraffa camelopardalis,Pons + Medulla,C,NA,1168437500,NA,NA
Giraffa camelopardalis,Pons + Medulla,I,NA,137992468.75,NA,NA
Giraffa camelopardalis,Pons + Medulla,I/C,NA,0.11810000000000001,NA,NA
Giraffa camelopardalis,Pons + Medulla,I/N,NA,2.9072276158802532,NA,NA
Giraffa camelopardalis,Pons + Medulla,I/mg,NA,6439.219260382642,NA,NA
Giraffa camelopardalis,Pons + Medulla,N,NA,47465313,NA,NA
Giraffa camelopardalis,Pons + Medulla,N/mg,NA,2214.9002799813347,NA,NA
Giraffa camelopardalis,Pons + Medulla,Structure mass (g),NA,21.43,NA,NA
Giraffa camelopardalis,Rest of brain,C,NA,5021562500,NA,NA
Giraffa camelopardalis,Rest of brain,I,NA,495126062.49999994,NA,NA
Giraffa camelopardalis,Rest of brain,I/C,NA,0.0986,NA,NA
Giraffa camelopardalis,Rest of brain,I/N,NA,3.468977403635885,NA,NA
Giraffa camelopardalis,Rest of brain,I/mg,NA,7005.179152518392,NA,NA
Giraffa camelopardalis,Rest of brain,N,NA,142729688,NA,NA
Giraffa camelopardalis,Rest of brain,N/mg,NA,2019.3787209960385,NA,NA
Giraffa camelopardalis,Rest of brain,Structure mass (g),NA,70.68,NA,NA
Giraffa camelopardalis,Whole brain,C,NA,48442643752,NA,NA
Giraffa camelopardalis,Whole brain,I,NA,3352230947.6384,NA,NA
Giraffa camelopardalis,Whole brain,I/C,NA,0.0692,NA,NA
Giraffa camelopardalis,Whole brain,I/N,NA,0.31028211438713543,NA,NA
Giraffa camelopardalis,Whole brain,I/mg,NA,6278.150372390028,NA,NA
Giraffa camelopardalis,Whole brain,N,NA,10803816244,NA,NA
Giraffa camelopardalis,Whole brain,N/mg,NA,20233.684383615007,NA,NA
Giraffa camelopardalis,Whole brain,Structure mass (g),NA,533.952,NA,NA
Homo sapiens,"Cerebral Cx, total - hp",C,NA,58278370486,NA,NA
Homo sapiens,"Cerebral Cx, total - hp",N,NA,9501996578,NA,NA
Homo sapiens,"Cerebral Cx, total - hp",N/mg,NA,14053,NA,NA
Homo sapiens,"Cerebral Cx, total - hp",Structure mass (g),NA,676.17,NA,NA
Homo sapiens,"Cerebral cortex, total (GM+WM+hippoc)",C,NA,58529270486,NA,NA
Homo sapiens,"Cerebral cortex, total (GM+WM+hippoc)",I,NA,1632966646.5594,NA,NA
Homo sapiens,"Cerebral cortex, total (GM+WM+hippoc)",I/C,NA,0.0279,NA,NA
Homo sapiens,"Cerebral cortex, total (GM+WM+hippoc)",I/N,NA,0.17125282142970674,NA,NA
Homo sapiens,"Cerebral cortex, total (GM+WM+hippoc)",I/mg,NA,2403.344214429485,NA,NA
Homo sapiens,"Cerebral cortex, total (GM+WM+hippoc)",N,NA,9535414558,NA,NA
Homo sapiens,"Cerebral cortex, total (GM+WM+hippoc)",N/mg,NA,14033.89558411435,NA,NA
Homo sapiens,"Cerebral cortex, total (GM+WM+hippoc)",Structure mass (g),NA,679.456,NA,NA
Homo sapiens,Hippocampus,C,NA,250900000,NA,NA
Homo sapiens,Hippocampus,I,NA,10136360,NA,NA
Homo sapiens,Hippocampus,I/C,NA,0.0404,NA,NA
Homo sapiens,Hippocampus,I/N,NA,0.30332054780091433,NA,NA
Homo sapiens,Hippocampus,I/mg,NA,3084.710894704808,NA,NA
Homo sapiens,Hippocampus,N,NA,33417980,NA,NA
Homo sapiens,Hippocampus,N/mg,NA,10169.80523432745,NA,NA
Homo sapiens,Hippocampus,Structure mass (g),NA,3.286,NA,NA
Hyaena hyaena,Cerebellum,C,NA,3928125000,NA,NA
Hyaena hyaena,Cerebellum,N,NA,3333833026,NA,NA
Hyaena hyaena,Cerebellum,N/mg,NA,237588,NA,NA
Hyaena hyaena,Cerebellum,Structure mass (g),NA,14.032,NA,NA
Hyaena hyaena,"Cerebral cortex, total (GM+WM+hippoc)",C,NA,3473045000,NA,NA
Hyaena hyaena,"Cerebral cortex, total (GM+WM+hippoc)",N,NA,495282533,NA,NA
Hyaena hyaena,"Cerebral cortex, total (GM+WM+hippoc)",N/mg,NA,7343,NA,NA
Hyaena hyaena,"Cerebral cortex, total (GM+WM+hippoc)",Structure mass (g),NA,67.45,NA,NA
Hyaena hyaena,"Cerebral cortex, total -hp",C,NA,3314982500,NA,NA
Hyaena hyaena,"Cerebral cortex, total -hp",N,NA,477044552,NA,NA
Hyaena hyaena,"Cerebral cortex, total -hp",N/mg,NA,7444,NA,NA
Hyaena hyaena,"Cerebral cortex, total -hp",Structure mass (g),NA,64.084,NA,NA
Hyaena hyaena,Hippocampus,C,NA,158062500,NA,NA
Hyaena hyaena,Hippocampus,N,NA,18237981,NA,NA
Hyaena hyaena,Hippocampus,N/mg,NA,5418,NA,NA
Hyaena hyaena,Hippocampus,Structure mass (g),NA,3.366,NA,NA
Hyaena hyaena,Pons + Medulla,C,NA,319000000,NA,NA
Hyaena hyaena,Pons + Medulla,N,NA,14944144,NA,NA
Hyaena hyaena,Pons + Medulla,N/mg,NA,2511,NA,NA
Hyaena hyaena,Pons + Medulla,Structure mass (g),NA,5.952,NA,NA
Hyaena hyaena,Rest of brain,C,NA,984825000,NA,NA
Hyaena hyaena,Rest of brain,N,NA,55487301,NA,NA
Hyaena hyaena,Rest of brain,N/mg,NA,3129,NA,NA
Hyaena hyaena,Rest of brain,Structure mass (g),NA,17.732,NA,NA
Hyaena hyaena,Whole brain,C,NA,8385995000,NA,NA
Hyaena hyaena,Whole brain,N,NA,3884602860,NA,NA
Hyaena hyaena,Whole brain,N/mg,NA,39154,NA,NA
Hyaena hyaena,Whole brain,Structure mass (g),NA,99.214,NA,NA
Loxodonta africana,Cerebellum total,C,NA,287226757500,NA,NA
Loxodonta africana,Cerebellum total,I,NA,6979610207.250001,NA,NA
Loxodonta africana,Cerebellum total,I/C,NA,0.024300000000000002,NA,NA
Loxodonta africana,Cerebellum total,I/N,NA,0.02802303979514131,NA,NA
Loxodonta africana,Cerebellum total,I/mg,NA,5982.290580066033,NA,NA
Loxodonta africana,Cerebellum total,N,NA,249066848503,NA,NA
Loxodonta africana,Cerebellum total,N/mg,NA,213477.57501679935,NA,NA
Loxodonta africana,Cerebellum total,Structure mass (g),NA,1166.712,NA,NA
Loxodonta africana,"Cerebral Cx, total - hp",C,NA,157990215478,NA,NA
Loxodonta africana,"Cerebral Cx, total - hp",I,NA,11707074966.9198,NA,NA
Loxodonta africana,"Cerebral Cx, total - hp",I/C,NA,0.0741,NA,NA
Loxodonta africana,"Cerebral Cx, total - hp",I/N,NA,2.0628682094714277,NA,NA
Loxodonta africana,"Cerebral Cx, total - hp",I/mg,NA,4148.614550540624,NA,NA
Loxodonta africana,"Cerebral Cx, total - hp",N,NA,5675144400,NA,NA
Loxodonta africana,"Cerebral Cx, total - hp",N/mg,NA,2011.0904475102802,NA,NA
Loxodonta africana,"Cerebral Cx, total - hp",Structure mass (g),NA,2821.924,NA,NA
Loxodonta africana,Cx total (GM+WM+Hp+Ent+Amyg),C,NA,160509115478,NA,NA
Loxodonta africana,Cx total (GM+WM+Hp+Ent+Amyg),I,NA,11973980014.6588,NA,NA
Loxodonta africana,Cx total (GM+WM+Hp+Ent+Amyg),I/C,NA,0.0746,NA,NA
Loxodonta africana,Cx total (GM+WM+Hp+Ent+Amyg),I/N,NA,2.085960836070247,NA,NA
Loxodonta africana,Cx total (GM+WM+Hp+Ent+Amyg),I/mg,NA,4192.147295601424,NA,NA
Loxodonta africana,Cx total (GM+WM+Hp+Ent+Amyg),N,NA,5740270770,NA,NA
Loxodonta africana,Cx total (GM+WM+Hp+Ent+Amyg),N/mg,NA,2009.6960705643128,NA,NA
Loxodonta africana,Cx total (GM+WM+Hp+Ent+Amyg),Structure mass (g),NA,2856.288,NA,NA
Loxodonta africana,Hippocampus,C,NA,1763900000,NA,NA
Loxodonta africana,Hippocampus,I,NA,199673480.00000003,NA,NA
Loxodonta africana,Hippocampus,I/C,NA,0.11320000000000001,NA,NA
Loxodonta africana,Hippocampus,I/N,NA,5.442307692307693,NA,NA
Loxodonta africana,Hippocampus,I/mg,NA,8174.628674363385,NA,NA
Loxodonta africana,Hippocampus,N,NA,36689120,NA,NA
Loxodonta africana,Hippocampus,N/mg,NA,1502.0519118971588,NA,NA
Loxodonta africana,Hippocampus,Structure mass (g),NA,24.426,NA,NA
Loxodonta africana,Pons + Medulla,C,NA,6203939366,NA,NA
Loxodonta africana,Pons + Medulla,I,NA,543465088.4616,NA,NA
Loxodonta africana,Pons + Medulla,I/C,NA,0.0876,NA,NA
Loxodonta africana,Pons + Medulla,I/N,NA,2.6504328376902238,NA,NA
Loxodonta africana,Pons + Medulla,I/mg,NA,3070.320149947459,NA,NA
Loxodonta africana,Pons + Medulla,N,NA,205047674,NA,NA
Loxodonta africana,Pons + Medulla,N/mg,NA,1158.4221664802324,NA,NA
Loxodonta africana,Pons + Medulla,Structure mass (g),NA,177.006,NA,NA
Loxodonta africana,Rest of brain,C,NA,28148254366,NA,NA
Loxodonta africana,Rest of brain,I,NA,1947859202.1272,NA,NA
Loxodonta africana,Rest of brain,I/C,NA,0.0692,NA,NA
Loxodonta africana,Rest of brain,I/N,NA,2.6263481925037615,NA,NA
Loxodonta africana,Rest of brain,I/mg,NA,3449.5287584114017,NA,NA
Loxodonta africana,Rest of brain,N,NA,741660686,NA,NA
Loxodonta africana,Rest of brain,N/mg,NA,1313.43161895182,NA,NA
Loxodonta africana,Rest of brain,Structure mass (g),NA,564.674,NA,NA
Loxodonta africana,Whole brain,C,NA,477844127344,NA,NA
Loxodonta africana,Whole brain,I,NA,20929572777.6672,NA,NA
Loxodonta africana,Whole brain,I/C,NA,0.0438,NA,NA
Loxodonta africana,Whole brain,I/N,NA,0.08138676855504177,NA,NA
Loxodonta africana,Whole brain,I/mg,NA,4562.1316548794,NA,NA
Loxodonta africana,Whole brain,N,NA,257161859959,NA,NA
Loxodonta africana,Whole brain,N/mg,NA,56054.95507287571,NA,NA
Loxodonta africana,Whole brain,Structure mass (g),NA,4587.674,NA,NA
Macaca fascicularis,"Cerebral cortex, total (GM+WM+hippoc)",C,NA,4604665786,NA,NA
Macaca fascicularis,"Cerebral cortex, total (GM+WM+hippoc)",I,NA,188330830.6474,NA,NA
Macaca fascicularis,"Cerebral cortex, total (GM+WM+hippoc)",I/C,NA,0.0409,NA,NA
Macaca fascicularis,"Cerebral cortex, total (GM+WM+hippoc)",I/N,NA,0.13696624260307189,NA,NA
Macaca fascicularis,"Cerebral cortex, total (GM+WM+hippoc)",I/mg,NA,4727.416804242181,NA,NA
Macaca fascicularis,"Cerebral cortex, total (GM+WM+hippoc)",N,NA,1375016406,NA,NA
Macaca fascicularis,"Cerebral cortex, total (GM+WM+hippoc)",N/mg,NA,34515.196696621315,NA,NA
Macaca fascicularis,"Cerebral cortex, total (GM+WM+hippoc)",Structure mass (g),NA,39.838,NA,NA
Macaca nemestrina,"Cerebral cortex, total (GM+WM+hippoc)",C,NA,7607293060,NA,NA
Macaca nemestrina,"Cerebral cortex, total (GM+WM+hippoc)",I,NA,275384008.772,NA,NA
Macaca nemestrina,"Cerebral cortex, total (GM+WM+hippoc)",I/C,NA,0.0362,NA,NA
Macaca nemestrina,"Cerebral cortex, total (GM+WM+hippoc)",I/N,NA,0.1262186215604113,NA,NA
Macaca nemestrina,"Cerebral cortex, total (GM+WM+hippoc)",I/mg,NA,3667.6789831655215,NA,NA
Macaca nemestrina,"Cerebral cortex, total (GM+WM+hippoc)",N,NA,2181801745,NA,NA
Macaca nemestrina,"Cerebral cortex, total (GM+WM+hippoc)",N/mg,NA,29058.14481114485,NA,NA
Macaca nemestrina,"Cerebral cortex, total (GM+WM+hippoc)",Structure mass (g),NA,75.084,NA,NA
Macropus fuliginosus,Cerebellum,C,NA,2721875000,NA,NA
Macropus fuliginosus,Cerebellum,I,NA,22863750,NA,NA
Macropus fuliginosus,Cerebellum,I/C,NA,0.0084,NA,NA
Macropus fuliginosus,Cerebellum,I/N,NA,0.011489536315141567,NA,NA
Macropus fuliginosus,Cerebellum,I/mg,NA,3107.332155477032,NA,NA
Macropus fuliginosus,Cerebellum,N,NA,1989962812.5,NA,NA
Macropus fuliginosus,Cerebellum,N/mg,NA,270448.8736749117,NA,NA
Macropus fuliginosus,Cerebellum,Structure mass (g),NA,7.358,NA,NA
Macropus fuliginosus,"Cerebral Cx, total - hp",C,NA,2513387500,NA,NA
Macropus fuliginosus,"Cerebral Cx, total - hp",I,NA,145776475,NA,NA
Macropus fuliginosus,"Cerebral Cx, total - hp",I/C,NA,0.057999999999999996,NA,NA
Macropus fuliginosus,"Cerebral Cx, total - hp",I/N,NA,0.4479868388130346,NA,NA
Macropus fuliginosus,"Cerebral Cx, total - hp",I/mg,NA,3912.8321612626155,NA,NA
Macropus fuliginosus,"Cerebral Cx, total - hp",N,NA,325403477,NA,NA
Macropus fuliginosus,"Cerebral Cx, total - hp",N/mg,NA,8734.256951900365,NA,NA
Macropus fuliginosus,"Cerebral Cx, total - hp",Structure mass (g),NA,37.256,NA,NA
Macropus fuliginosus,"Cerebral cortex, total (GM+WM+hippoc)",C,NA,2740637500,NA,NA
Macropus fuliginosus,"Cerebral cortex, total (GM+WM+hippoc)",I,NA,161697612.5,NA,NA
Macropus fuliginosus,"Cerebral cortex, total (GM+WM+hippoc)",I/C,NA,0.059000000000000004,NA,NA
Macropus fuliginosus,"Cerebral cortex, total (GM+WM+hippoc)",I/N,NA,0.43681783536104585,NA,NA
Macropus fuliginosus,"Cerebral cortex, total (GM+WM+hippoc)",I/mg,NA,4022.929106334279,NA,NA
Macropus fuliginosus,"Cerebral cortex, total (GM+WM+hippoc)",N,NA,370171727,NA,NA
Macropus fuliginosus,"Cerebral cortex, total (GM+WM+hippoc)",N/mg,NA,9209.626486540279,NA,NA
Macropus fuliginosus,"Cerebral cortex, total (GM+WM+hippoc)",Structure mass (g),NA,40.194,NA,NA
Macropus fuliginosus,Hippocampus,C,NA,227250000,NA,NA
Macropus fuliginosus,Hippocampus,I,NA,15975675,NA,NA
Macropus fuliginosus,Hippocampus,I/C,NA,0.0703,NA,NA
Macropus fuliginosus,Hippocampus,I/N,NA,0.35685279187817265,NA,NA
Macropus fuliginosus,Hippocampus,I/mg,NA,5437.602110279101,NA,NA
Macropus fuliginosus,Hippocampus,N,NA,44768249.99999999,NA,NA
Macropus fuliginosus,Hippocampus,N/mg,NA,15237.661674608575,NA,NA
Macropus fuliginosus,Hippocampus,Structure mass (g),NA,2.938,NA,NA
Macropus fuliginosus,Pons + Medulla,C,NA,273625000,NA,NA
Macropus fuliginosus,Pons + Medulla,I,NA,23449662.5,NA,NA
Macropus fuliginosus,Pons + Medulla,I/C,NA,0.0857,NA,NA
Macropus fuliginosus,Pons + Medulla,I/N,NA,1.0987179487179488,NA,NA
Macropus fuliginosus,Pons + Medulla,I/mg,NA,5375.896950939936,NA,NA
Macropus fuliginosus,Pons + Medulla,N,NA,21342750,NA,NA
Macropus fuliginosus,Pons + Medulla,N/mg,NA,4892.881705639615,NA,NA
Macropus fuliginosus,Pons + Medulla,Structure mass (g),NA,4.362,NA,NA
Macropus fuliginosus,Rest of brain,C,NA,1245625000,NA,NA
Macropus fuliginosus,Rest of brain,I,NA,80965625,NA,NA
Macropus fuliginosus,Rest of brain,I/C,NA,0.065,NA,NA
Macropus fuliginosus,Rest of brain,I/N,NA,0.8283610568440675,NA,NA
Macropus fuliginosus,Rest of brain,I/mg,NA,5336.516279989454,NA,NA
Macropus fuliginosus,Rest of brain,N,NA,97741950,NA,NA
Macropus fuliginosus,Rest of brain,N/mg,NA,6442.2587661481675,NA,NA
Macropus fuliginosus,Rest of brain,Structure mass (g),NA,15.172,NA,NA
Macropus fuliginosus,Whole brain,C,NA,6708137500,NA,NA
Macropus fuliginosus,Whole brain,I,NA,265642244.99999997,NA,NA
Macropus fuliginosus,Whole brain,I/C,NA,0.039599999999999996,NA,NA
Macropus fuliginosus,Whole brain,I/N,NA,0.10807794699236493,NA,NA
Macropus fuliginosus,Whole brain,I/mg,NA,4235.097331165104,NA,NA
Macropus fuliginosus,Whole brain,N,NA,2457876490,NA,NA
Macropus fuliginosus,Whole brain,N/mg,NA,39185.582711561765,NA,NA
Macropus fuliginosus,Whole brain,Structure mass (g),NA,62.724,NA,NA
Macropus parma,Cerebellum,C,NA,721687500,NA,NA
Macropus parma,Cerebellum,I,NA,5268318.75,NA,NA
Macropus parma,Cerebellum,I/C,NA,0.0073,NA,NA
Macropus parma,Cerebellum,I/N,NA,0.009440062071641019,NA,NA
Macropus parma,Cerebellum,I/mg,NA,3117.348372781065,NA,NA
Macropus parma,Cerebellum,N,NA,558080943.75,NA,NA
Macropus parma,Cerebellum,N/mg,NA,330225.4105029586,NA,NA
Macropus parma,Cerebellum,Structure mass (g),NA,1.69,NA,NA
Macropus parma,"Cerebral Cx, total - hp",C,NA,750782500,NA,NA
Macropus parma,"Cerebral Cx, total - hp",I,NA,40467176.75,NA,NA
Macropus parma,"Cerebral Cx, total - hp",I/C,NA,0.053899999999999997,NA,NA
Macropus parma,"Cerebral Cx, total - hp",I/N,NA,0.3182714882081546,NA,NA
