Source,Species_raw,curated,NCBI_id,NCBI_name,Species_final,name_source,flag_curated_overrides_ncbi,flag_unresolved
Baron_etal_1983_Table1,Galemys pyrenaicus,NA,202257,Galemys pyrenaicus,Galemys pyrenaicus,NCBI,FALSE,FALSE
Baron_etal_1983_Table1,Gorilla gorilla,Gorilla sp.,9593,Gorilla gorilla,Gorilla sp.,curated,TRUE,FALSE
Baron_etal_1983_Table1,Hemicentetes semispinosus,NA,319813,Hemicentetes semispinosus,Hemicentetes semispinosus,NCBI,FALSE,FALSE
Baron_etal_1983_Table1,Hemiechinus auritus,NA,217708,Hemiechinus auritus,Hemiechinus auritus,NCBI,FALSE,FALSE
Baron_etal_1983_Table1,Homo sapiens,NA,9606,Homo sapiens,Homo sapiens,NCBI,FALSE,FALSE
Baron_etal_1983_Table1,Hylobates lar,NA,9580,Hylobates lar,Hylobates lar,NCBI,FALSE,FALSE
Baron_etal_1983_Table1,Indri indri,NA,34827,Indri indri,Indri indri,NCBI,FALSE,FALSE
Baron_etal_1983_Table1,Lagothrix lagothricha,NA,NA,NA,Lagothrix lagothricha,unresolved_raw,FALSE,TRUE
Baron_etal_1983_Table1,Lemur albifrons,Eulemur fulvus,1215604,Eulemur albifrons,Eulemur fulvus,curated,TRUE,FALSE
Baron_etal_1983_Table1,Lepilemur ruficaudatus,NA,78866,Lepilemur ruficaudatus,Lepilemur ruficaudatus,NCBI,FALSE,FALSE
Baron_etal_1983_Table1,Limnogale mergulus,Microgale mergulus,319815,Limnogale mergulus,Microgale mergulus,curated,TRUE,FALSE
