"Species","Brain_Mass_excl_olfactory_bulb.g","Brain_Mass_from_volume_or_ecv.g","Brain_Mass_mass_or_volume.g","Brain_Mass_measured.g","Brain_size_sum_of_structures.g"
"Indri indri",,,38.3,36,
"Inia geoffrensis",,,633.645,610,
"Iomys horsfieldii",,,3.38,,
"Isoodon macrourus",,,4.42,,
"Isoodon obesulus",,,4.03,,
"Isthmomys pirrensis",,,1.71,,
"Jaculus jaculus",,,1.53,,
"Jaculus orientalis",,,2.5,,
"Kerivoula papillosa",,,0.31,,
"Kerivoula pellucida",,,0.203,,
"Kerivoula phalaena",,,0.116,,
"KNM-ER 1470",,710.95,,,
"KNM-ER 1805",,546.07,,,
"KNM-ER 1813",,495.28,,,
"KNM-ER 23000",,466.76,,,
"KNM-ER 3733",,765.1,,,
"KNM-ER 3883",,722.47,,,
"KNM-WT 15000",,823.52,,,
"Kobus ellipsiprymnus",,,290,,
"Kobus kob",,,204,,
"Kobus leche",,,222.7,,
"Kogia breviceps",,,1019,1012,
"Kogia sima",,,622,,
"Kogia simus",,,,622,
"La Chapelle I",,1516.76,,,
"La Ferrassie I",,1575.83,,,
"Lagenorhynchus acutus",,,1103.17,1200,
"Lagenorhynchus albirostris",,,1126,1126,
"Lagenorhynchus obliquidens",,,1136.75,1140,
"Lagenorhynchus obscurus",,,886.1,,
"Lagidium viscacia",,,15.08,,
"Lagorchestes conspicillatus",,,14,,
"Lagorchestes hirsutus",,,7.77,,
