"Species","Variable","Value","Source"
"Sapajus apella","Lamina of axon terminals densest","6","PETRAS, 1968"
"Chlorocebus sabaeus","Species_as_printed","Cercopithecus pygerythrus","Heffner & Masterton 1975 (dexterity)"
"Chlorocebus sabaeus","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Chlorocebus sabaeus","Digital dexterity","6","Heffner & Masterton 1975 (dexterity)"
"Chlorocebus sabaeus","Body weight kg","4","Heffner & Masterton 1975 (dexterity)"
"Chlorocebus sabaeus","Penetration down spinal cord","coccygeal","PETRAS, 1968"
"Chlorocebus sabaeus","Lamina of axon terminals deepest","10","PETRAS, 1969"
"Chlorocebus sabaeus","Lamina of axon terminals densest","6","PETRAS, 1968"
"Lagothrix lagotricha","Species_as_printed","Lagothrix lagotricha","Heffner & Masterton 1975 (dexterity)"
"Lagothrix lagotricha","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Lagothrix lagotricha","Digital dexterity","5","Heffner & Masterton 1975 (dexterity)"
"Lagothrix lagotricha","Body weight kg","6","Heffner & Masterton 1975 (dexterity)"
"Lagothrix lagotricha","Penetration down spinal cord","coccygeal","PETRAS, 1968"
"Lagothrix lagotricha","Lamina of axon terminals deepest","10","PETRAS, 1968"
"Lagothrix lagotricha","Lamina of axon terminals densest","6","PETRAS, 1968"
"Macaca irus","Species_as_printed","Macaca ira","Heffner & Masterton 1975 (dexterity)"
"Macaca irus","species_basis","spelling_correction","Heffner & Masterton 1975 (dexterity)"
"Macaca irus","Digital dexterity","6","Heffner & Masterton 1975 (dexterity)"
"Macaca irus","Body weight kg","5","Heffner & Masterton 1975 (dexterity)"
"Macaca irus","Number of fibers per tract","195000","VERHAART, 1948a"
"Macaca irus","Average fiber size x 10ˆ5 K","0.6","Heffner & Masterton 1975 (dexterity)"
"Macaca irus","Area of tract mmˆ2","1.18","Heffner & Masterton 1975 (dexterity)"
"Macaca mulatta","Species_as_printed","Macaca mulatta","Heffner & Masterton 1975 (dexterity)"
"Macaca mulatta","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Macaca mulatta","Digital dexterity","6","Heffner & Masterton 1975 (dexterity)"
"Macaca mulatta","Body weight kg","8.300000000000001","Heffner & Masterton 1975 (dexterity)"
"Macaca mulatta","Number of fibers per tract","400000","DEMEYER and RUSSEL, 1958"
"Macaca mulatta","Average fiber size x 10ˆ5 K","0.72","Heffner & Masterton 1975 (dexterity)"
"Macaca mulatta","Area of tract mmˆ2","2.89","Heffner & Masterton 1975 (dexterity)"
"Macaca mulatta","Penetration down spinal cord","coccygeal","PETRAS, 1968"
"Macaca mulatta","Lamina of axon terminals deepest","10","PETRAS, 1969"
"Macaca mulatta","Lamina of axon terminals densest","6","PETRAS, 1968"
"Papio anubis","Species_as_printed","Papio papio","Heffner & Masterton 1975 (dexterity)"
"Papio anubis","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Papio anubis","Digital dexterity","6","Heffner & Masterton 1975 (dexterity)"
"Papio anubis","Body weight kg","25","Heffner & Masterton 1975 (dexterity)"
"Papio anubis","Lamina of axon terminals deepest","10","PHILLIPS, 1967"
"Saguinus oedipus","Species_as_printed","Saquinas oedipus","Heffner & Masterton 1975 (dexterity)"
"Saguinus oedipus","species_basis","Iwaniuk_etal_1999","Heffner & Masterton 1975 (dexterity)"
"Saguinus oedipus","Digital dexterity","4","Heffner & Masterton 1975 (dexterity)"
"Saguinus oedipus","Body weight kg","0.4","Heffner & Masterton 1975 (dexterity)"
"Saguinus oedipus","Penetration down spinal cord","S","SHRIVER and MATZKE, 1965"
"Saguinus oedipus","Lamina of axon terminals deepest","6","SHRIVER and MATZKE, 1965"
"Saimiri boliviensis boliviensis","Species_as_printed","Saimiri sciureus","Heffner & Masterton 1975 (dexterity)"
"Saimiri boliviensis boliviensis","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Saimiri boliviensis boliviensis","Digital dexterity","5","Heffner & Masterton 1975 (dexterity)"
"Saimiri boliviensis boliviensis","Body weight kg","0.75","Heffner & Masterton 1975 (dexterity)"
"Saimiri boliviensis boliviensis","Largest fiber diameter µm","8","VERHAART, 1970"
"Saimiri boliviensis boliviensis","Area of tract mmˆ2","0.7","Heffner & Masterton 1975 (dexterity)"
"Saimiri boliviensis boliviensis","Penetration down spinal cord","S","VERHAART, 1966"
"Saimiri boliviensis boliviensis","Lamina of axon terminals deepest","9","HARTING AND NOBACK, 1970"
"Saimiri boliviensis boliviensis","Lamina of axon terminals densest","6","HARTING AND NOBACK, 1970"
"Mus musculus","species_basis","unspecified_in_source","Heffner & Masterton 1975 (dexterity)"
"Mus musculus","Digital dexterity","3","Heffner & Masterton 1975 (dexterity)"
"Mus musculus","Body weight kg","0.025","Heffner & Masterton 1975 (dexterity)"
"Mus musculus","Number of fibers per tract","32300","LASSEK and RASMUSSEN, 1940"
"Mus musculus","Average fiber size x 10ˆ5 K","0.21","Heffner & Masterton 1975 (dexterity)"
"Mus musculus","Area of tract mmˆ2","0.07000000000000001","Heffner & Masterton 1975 (dexterity)"
"Equus","Species_as_printed","Equus","Heffner & Masterton 1975 (dexterity)"
"Equus","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Equus","Digital dexterity","1","Heffner & Masterton 1975 (dexterity)"
"Equus","Body weight kg","250","Heffner & Masterton 1975 (dexterity)"
"Equus","Number of fibers per tract","412000","LASSEK, 1942"
"Equus","Largest fiber diameter µm","5","VERHAART, 1970"
"Equus","Average fiber size x 10ˆ5 K","0.9","Heffner & Masterton 1975 (dexterity)"
"Equus","Area of tract mmˆ2","3.74","Heffner & Masterton 1975 (dexterity)"
"Didelphis virginiana","Species_as_printed","Didelphis","Heffner & Masterton 1975 (dexterity)"
"Didelphis virginiana","species_basis","Iwaniuk_etal_1999_imputed","Heffner & Masterton 1975 (dexterity)"
"Didelphis virginiana","Digital dexterity","3","Heffner & Masterton 1975 (dexterity)"
"Didelphis virginiana","Body weight kg","3.7","Heffner & Masterton 1975 (dexterity)"
"Didelphis virginiana","Number of fibers per tract","48100","TOWE, 1973"
"Didelphis virginiana","Average fiber size x 10ˆ5 K","0.45","Heffner & Masterton 1975 (dexterity)"
"Didelphis virginiana","Area of tract mmˆ2","0.22","Heffner & Masterton 1975 (dexterity)"
"Didelphis virginiana","Penetration down spinal cord","Upper T","BAUTISTA and MATZKE, 1965"
"Didelphis virginiana","Lamina of axon terminals deepest","8","MARTIN and FISHER, 1968"
"Didelphis virginiana","Lamina of axon terminals densest","5","MARTIN and FISHER, 1968"
"Pongo pygmaeus","Species_as_printed","Pongo pygmaeus","Heffner & Masterton 1975 (dexterity)"
