Species,Variable,Value,Teams,n_teams
Atelerix algirus,Prepiriform_cortex_Vol.mm3,216.4,Stephan_collection,1
Atelerix algirus,Retrobulbar_cortex_Vol.mm3,52.8,Stephan_collection,1
Atelerix algirus,Schizo_cortex_Vol.mm3,109,Stephan_collection,1
Atelerix algirus,Septum_Vol.mm3,42.9,Stephan_collection,1
Atelerix algirus,Striatum_Vol.mm3,140,Stephan_collection,1
Atelerix algirus,Substantia_innominata_Vol.mm3,9,Stephan_collection,1
Atelerix algirus,Telencephalon_Vol.mm3,1766,Stephan_collection,1
Atelerix algirus,Total_brain_net_volume_Vol.mm3,2859,Stephan_collection,1
Atelerix algirus,Tractus_olfactorius_lateralis_Vol.mm3,12.8,Stephan_collection,1
Atelerix algirus,Tuberculum_olfactorium_Vol.mm3,53.3,Stephan_collection,1
Atelerix algirus,Ventricles_Vol.mm3,121,Stephan_collection,1
Ateles geoffroyi,AccessoryOlfactoryBulb_Vol.mm3,2.189,Stephan_collection,1
Ateles geoffroyi,AccessoryOlfactoryBulb_layer_6_Vol.mm3,0.37,Stephan_collection,1
Ateles geoffroyi,AccessoryOlfactoryBulb_layers_1_2_Vol.mm3,0.85,Stephan_collection,1
Ateles geoffroyi,AccessoryOlfactoryBulb_layers_3_5_Vol.mm3,0.969,Stephan_collection,1
Ateles geoffroyi,Agranular_insular_cortex_Vol.mm3,270,Zilles,1
Ateles geoffroyi,Agranular_insular_cortex_left_Vol.mm3,135,Zilles,1
Ateles geoffroyi,Amygdala_Vol.mm3,868.8,Stephan_collection,1
Ateles geoffroyi,Area_striata_Vol.mm3,4738,Stephan_collection,1
Ateles geoffroyi,Area_striata_grey_matter_Vol.mm3,3753,Stephan_collection,1
Ateles geoffroyi,Area_striata_white_matter_Vol.mm3,985,Stephan_collection,1
Ateles geoffroyi,Body_Mass.g,8000,Stephan_collection; Zilles,2
Ateles geoffroyi,Brain_Mass.mg,108000,Stephan_collection; Zilles,2
Ateles geoffroyi,Bulbus_olfactorius_Vol.mm3,90.4,Stephan_collection,1
