source,Domain,Standardized_Term,Species,Value
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Saiga tatarica,66.59090909
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Nanger granti,67.38351254
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Camelus bactrianus,72
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Ceratotherium simum,68
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Kobus ellipsiprymnus,67.16
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Moschiola meminna,68.17528736
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Ailurus fulgens,61.16666667
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Panthera tigris,64.41289317
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Ailuropoda melanoleuca,66.04377104
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Sarcophilus harrisii,62.315
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Caracal caracal,65.76364335
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Leopardus pardalis,60.88318534
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Zalophus wollebaeki,59.48
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Aepyceros melampus,68
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Elephas maximus,73
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Alcelaphus buselaphus,72.41379310000001
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Canis lupus,60.34
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Acinonyx jubatus,70
