"species_sci"	"Species"	"Order"	"Habitat"	"Duty_Factor"	"Phase"	"Gait"	"Foot_Posture"	"Hindlimb_Length.mm"	"Body_Mass.g"
"Isoodon macrourus"	"Isoodon macrourus"	"Peramelemorphia"	"terrestrial"	74.38809091	41.78658333	"LSDC"	"plantigrade"	192.98	1505.77
"Dasyurus maculatus"	"Dasyurus maculatus"	"Dasyuromorphia"	"terrestrial"	64.27399	41.39767	"LSDC"	"digitigrade"	181.877	3284.15
"Mystacina tuberculata"	"Mystacina tuberculata"	"Chiroptera"	"arboreal"	60.77757143	40.67614286	"LSDC"	NA	41.573	13.9
"Mus musculus"	"Mus musculus"	"Rodentia"	"terrestrial"	86	40	"LSDC"	"plantigrade"	31.2	19.3
"Tupaia tana"	"Tupaia tana"	"Scandentia"	"arboreal"	64.62	38.08	"LSDC"	"digitigrade"	108.85	182.33
"Muscardinus avellanarius"	"Muscardinus avellanarius"	"Rodentia"	"terrestrial"	64.25	36.74	"LSDC"	"plantigrade"	41.44	29.19
"Castor canadensis"	"Castor canadensis"	"Rodentia"	"terrestrial"	74.15624349	36.6823	"LSDC"	"plantigrade"	201.94	18124.41
"Dasypus novemcinctus"	"Dasypus novemcinctus"	"Cingulata"	"terrestrial"	54.54	36.36	"LSDC"	"digitigrade"	163.78	3580
"Rattus norvegicus"	"Rattus norvegicus"	"Rodentia"	"terrestrial"	62	36	"LSDC"	"plantigrade"	94.63	282.89
"Apodemus agrarius"	"Apodemus agrarius"	"Rodentia"	"terrestrial"	74.01	35.52	"LSDC"	"plantigrade"	59.96	21.11
"Sciurus griseus"	"Sciurus griseus"	"Rodentia"	"arboreal"	66.2929198	35.32612782	"LSDC"	"plantigrade"	143.94	703.85
"Didelphis virginiana"	"Didelphis virginiana"	"Didelphimorphia"	"terrestrial"	76.54	34.86	"LSDC"	"plantigrade"	154.79	2290
"Micromys minutus"	"Micromys minutus"	"Rodentia"	"terrestrial"	65.63	34.05	"LSDC"	"plantigrade"	28.41	6.99
"Erinaceus europaeus"	"Erinaceus europaeus"	"Eulipotyphla"	"terrestrial"	62.96	33.33	"LSDC"	NA	101.65	777.95
"Talpa europaea"	"Talpa europaea"	"Eulipotyphla"	"terrestrial"	63.66	33.33	"DSDC"	"plantigrade"	46.28	87.53
"Vulpes vulpes"	"Vulpes vulpes"	"Carnivora"	"terrestrial"	63.69606004	32.52033	"LSDC"	"digitigrade"	318.38	4750
"Tragelaphus strepsiceros"	"Tragelaphus strepsiceros"	"Artiodactyla"	"terrestrial"	62.67948718	32.03419	"LSDC"	"unguligrade"	1018	206056.41
"Thallomys paedulcus"	"Thallomys paedulcus"	"Rodentia"	"terrestrial"	71.875	31.885	"LSDC"	"plantigrade"	49.64	77.7
"Odocoileus virginianus"	"Odocoileus virginianus"	"Artiodactyla"	"terrestrial"	69	31	"LSDC"	"unguligrade"	560	75901.25
"Moschus leucogaster"	"Moschus leucogaster"	"Artiodactyla"	"terrestrial"	72.02	30.21	"LSDC"	"unguligrade"	465	17000
"Myrmecobius fasciatus"	"Myrmecobius fasciatus"	"Dasyuromorphia"	"terrestrial"	55	30	"LSDC"	"digitigrade"	112.04	511.44
"Pteropus vampyrus"	"Pteropus vampyrus"	"Chiroptera"	"arboreal"	73.19434535	29.84214946	"LSDC"	NA	199.05	1027.54
"Desmodus rotundus"	"Desmodus rotundus"	"Chiroptera"	"arboreal"	68.15073417	29.50951127	"LSDC"	NA	47.471	23.1
"Bos taurus"	"Bos taurus"	"Artiodactyla"	"terrestrial"	69	29	"LSDC"	"unguligrade"	958	618642.42
