standardized_term,structure,measure,original_term_variant,reference
Tegmentum_p.C.Brain,Tegmentum,p.C.Brain,Tegmentum_p.C.Brain,Kverkova_etal_2018_TableS1
Thalamus_Vol.mm3,Thalamus,Vol.mm3,Thalamus_Vol.mm3,Kverkova_etal_2018_TableS1
Thalamus_Vol.mm3_SD,Thalamus_Vol.mm3,SD,Thalamus_Vol.mm3_SD,Kverkova_etal_2018_TableS1
Thalamus_p.C.Brain,Thalamus,p.C.Brain,Thalamus_p.C.Brain,Kverkova_etal_2018_TableS1
WholeBrainOlfactoryBulb_Mass.g,WholeBrainOlfactoryBulb,Mass.g,Brain_Mass.g,Kverkova_etal_2018_TableS1
WholeBrainOlfactoryBulb_Mass.g_SD,WholeBrainOlfactoryBulb_Mass.g,SD,Brain_Mass.g_SD,Kverkova_etal_2018_TableS1
WholeBrainOlfactoryBulb_N.n,WholeBrainOlfactoryBulb,N.n,Whole brain_N.n,Kverkova_etal_2018_TableS5
WholeBrainOlfactoryBulb_N.n_SD,WholeBrainOlfactoryBulb_N.n,SD,Whole brain_N.n_SD,Kverkova_etal_2018_TableS5
WholeBrain_C.n,WholeBrain,C.n,Br_C,DosSantos_etal_2020_Table1
WholeBrain_I.n,WholeBrain,I.n,Br_I,DosSantos_etal_2020_Table1
WholeBrain_I.p.C,WholeBrain,I.p.C,Br_I/C,DosSantos_etal_2020_unpublished
WholeBrain_I.p.N,WholeBrain,I.p.N,Br_I/N,DosSantos_etal_2020_Table1
WholeBrain_I.p.mg,WholeBrain,I.p.mg,Br_I/mg,DosSantos_etal_2020_Table1
WholeBrain_Mass.g,WholeBrain,Mass.g,Br_Structure mass (g),AvelinodeSouza_etal_2025_TABLE1
WholeBrain_Mass.g,WholeBrain,Mass.g,Br_Structure mass (g),DosSantos_etal_2017_TableS1
WholeBrain_Mass.g,WholeBrain,Mass.g,Br_Structure mass (g),DosSantos_etal_2020_Table1
WholeBrain_Mass.g,WholeBrain,Mass.g,Br_Structure mass (g),HerculanoHouzel_etal_2015_Table5
WholeBrain_Mass.g,WholeBrain,Mass.g,Br_Structure mass (g),HerculanoHouzel_etal_2020_TABLE1
WholeBrain_Mass.g,WholeBrain,Mass.g,Br_Structure mass (g),JardimMesseder_etal_2017_Table1
WholeBrain_Mass.g,WholeBrain,Mass.g,"Brain mass, g",AvelinodeSouza_etal_2025_TABLE1
WholeBrain_Mass.g,WholeBrain,Mass.g,"Brain mass, g",DosSantos_etal_2017_TableS1
WholeBrain_Mass.g,WholeBrain,Mass.g,"Brain mass, g",DosSantos_etal_2020_Table1
WholeBrain_Mass.g,WholeBrain,Mass.g,"Brain mass, g",HerculanoHouzel_etal_2015_Table5
WholeBrain_Mass.g,WholeBrain,Mass.g,"Brain mass, g",HerculanoHouzel_etal_2020_TABLE1
WholeBrain_Mass.g,WholeBrain,Mass.g,"Brain mass, g",JardimMesseder_etal_2017_Table1
WholeBrain_Mass.g,WholeBrain,Mass.g,MBR,AvelinodeSouza_etal_2025_TABLE1
WholeBrain_Mass.g,WholeBrain,Mass.g,MBR,DosSantos_etal_2017_TableS1
WholeBrain_Mass.g,WholeBrain,Mass.g,MBR,DosSantos_etal_2020_Table1
WholeBrain_Mass.g,WholeBrain,Mass.g,MBR,HerculanoHouzel_etal_2015_Table5
WholeBrain_Mass.g,WholeBrain,Mass.g,MBR,HerculanoHouzel_etal_2020_TABLE1
WholeBrain_Mass.g,WholeBrain,Mass.g,MBR,JardimMesseder_etal_2017_Table1
WholeBrain_Mass.g,WholeBrain,Mass.g,MBR.g,AvelinodeSouza_etal_2025_TABLE1
WholeBrain_Mass.g,WholeBrain,Mass.g,MBR.g,DosSantos_etal_2017_TableS1
WholeBrain_Mass.g,WholeBrain,Mass.g,MBR.g,DosSantos_etal_2020_Table1
WholeBrain_Mass.g,WholeBrain,Mass.g,MBR.g,HerculanoHouzel_etal_2015_Table5
WholeBrain_Mass.g,WholeBrain,Mass.g,MBR.g,HerculanoHouzel_etal_2020_TABLE1
WholeBrain_Mass.g,WholeBrain,Mass.g,MBR.g,JardimMesseder_etal_2017_Table1
WholeBrain_Mass.g,WholeBrain,Mass.g,"MBRAIN, g",AvelinodeSouza_etal_2025_TABLE1
WholeBrain_Mass.g,WholeBrain,Mass.g,"MBRAIN, g",DosSantos_etal_2017_TableS1
WholeBrain_Mass.g,WholeBrain,Mass.g,"MBRAIN, g",DosSantos_etal_2020_Table1
WholeBrain_Mass.g,WholeBrain,Mass.g,"MBRAIN, g",HerculanoHouzel_etal_2015_Table5
WholeBrain_Mass.g,WholeBrain,Mass.g,"MBRAIN, g",HerculanoHouzel_etal_2020_TABLE1
WholeBrain_Mass.g,WholeBrain,Mass.g,"MBRAIN, g",JardimMesseder_etal_2017_Table1
WholeBrain_Mass.g,WholeBrain,Mass.g,"Whole brain_Mass, g",AvelinodeSouza_etal_2025_TABLE1
WholeBrain_Mass.g,WholeBrain,Mass.g,"Whole brain_Mass, g",DosSantos_etal_2017_TableS1
WholeBrain_Mass.g,WholeBrain,Mass.g,"Whole brain_Mass, g",DosSantos_etal_2020_Table1
WholeBrain_Mass.g,WholeBrain,Mass.g,"Whole brain_Mass, g",HerculanoHouzel_etal_2015_Table5
WholeBrain_Mass.g,WholeBrain,Mass.g,"Whole brain_Mass, g",HerculanoHouzel_etal_2020_TABLE1
WholeBrain_Mass.g,WholeBrain,Mass.g,"Whole brain_Mass, g",JardimMesseder_etal_2017_Table1
WholeBrain_Mass.g_SD,WholeBrain_Mass.g,SD,"Brain mass, g SD",HerculanoHouzel_etal_2015_Table5
WholeBrain_N.n,WholeBrain,N.n,Br_N,AvelinodeSouza_etal_2025_TABLE1
WholeBrain_N.n,WholeBrain,N.n,Br_N,DosSantos_etal_2017_TableS1
WholeBrain_N.n,WholeBrain,N.n,Br_N,DosSantos_etal_2020_Table1
WholeBrain_N.n,WholeBrain,N.n,Br_N,HerculanoHouzel_etal_2015_Table5
WholeBrain_N.n,WholeBrain,N.n,Br_N,HerculanoHouzel_etal_2020_TABLE1
WholeBrain_N.n,WholeBrain,N.n,Br_N,JardimMesseder_etal_2017_Table1
WholeBrain_N.n,WholeBrain,N.n,NBR,AvelinodeSouza_etal_2025_TABLE1
WholeBrain_N.n,WholeBrain,N.n,NBR,DosSantos_etal_2017_TableS1
WholeBrain_N.n,WholeBrain,N.n,NBR,DosSantos_etal_2020_Table1
WholeBrain_N.n,WholeBrain,N.n,NBR,HerculanoHouzel_etal_2015_Table5
WholeBrain_N.n,WholeBrain,N.n,NBR,HerculanoHouzel_etal_2020_TABLE1
WholeBrain_N.n,WholeBrain,N.n,NBR,JardimMesseder_etal_2017_Table1
WholeBrain_N.n,WholeBrain,N.n,NBRAIN,AvelinodeSouza_etal_2025_TABLE1
WholeBrain_N.n,WholeBrain,N.n,NBRAIN,DosSantos_etal_2017_TableS1
WholeBrain_N.n,WholeBrain,N.n,NBRAIN,DosSantos_etal_2020_Table1
WholeBrain_N.n,WholeBrain,N.n,NBRAIN,HerculanoHouzel_etal_2015_Table5
WholeBrain_N.n,WholeBrain,N.n,NBRAIN,HerculanoHouzel_etal_2020_TABLE1
WholeBrain_N.n,WholeBrain,N.n,NBRAIN,JardimMesseder_etal_2017_Table1
WholeBrain_N.n,WholeBrain,N.n,Whole brain Neurons,AvelinodeSouza_etal_2025_TABLE1
WholeBrain_N.n,WholeBrain,N.n,Whole brain Neurons,DosSantos_etal_2017_TableS1
WholeBrain_N.n,WholeBrain,N.n,Whole brain Neurons,DosSantos_etal_2020_Table1
WholeBrain_N.n,WholeBrain,N.n,Whole brain Neurons,HerculanoHouzel_etal_2015_Table5
WholeBrain_N.n,WholeBrain,N.n,Whole brain Neurons,HerculanoHouzel_etal_2020_TABLE1
WholeBrain_N.n,WholeBrain,N.n,Whole brain Neurons,JardimMesseder_etal_2017_Table1
WholeBrain_N.n,WholeBrain,N.n,Whole brain_Neurons,AvelinodeSouza_etal_2025_TABLE1
WholeBrain_N.n,WholeBrain,N.n,Whole brain_Neurons,DosSantos_etal_2017_TableS1
WholeBrain_N.n,WholeBrain,N.n,Whole brain_Neurons,DosSantos_etal_2020_Table1
WholeBrain_N.n,WholeBrain,N.n,Whole brain_Neurons,HerculanoHouzel_etal_2015_Table5
WholeBrain_N.n,WholeBrain,N.n,Whole brain_Neurons,HerculanoHouzel_etal_2020_TABLE1
WholeBrain_N.n,WholeBrain,N.n,Whole brain_Neurons,JardimMesseder_etal_2017_Table1
WholeBrain_N.n_SD,WholeBrain_N.n,SD,Whole brain Neurons SD,HerculanoHouzel_etal_2015_Table5
WholeBrain_N.p.mg,WholeBrain,N.p.mg,Br_N/mg,AvelinodeSouza_etal_2025_TABLE1
WholeBrain_N.p.mg,WholeBrain,N.p.mg,Br_N/mg,DosSantos_etal_2020_Table1
WholeBrain_N.p.mg,WholeBrain,N.p.mg,Whole brain_Neurons/mg,AvelinodeSouza_etal_2025_TABLE1
WholeBrain_N.p.mg,WholeBrain,N.p.mg,Whole brain_Neurons/mg,DosSantos_etal_2020_Table1
WholeBrain_O.n,WholeBrain,O.n,OBR,AvelinodeSouza_etal_2025_TABLE1
WholeBrain_O.n,WholeBrain,O.n,OBR,HerculanoHouzel_etal_2015_Table5
WholeBrain_O.n,WholeBrain,O.n,OBR,JardimMesseder_etal_2017_Table1
WholeBrain_O.n,WholeBrain,O.n,Whole brain Other cells,AvelinodeSouza_etal_2025_TABLE1
WholeBrain_O.n,WholeBrain,O.n,Whole brain Other cells,HerculanoHouzel_etal_2015_Table5
WholeBrain_O.n,WholeBrain,O.n,Whole brain Other cells,JardimMesseder_etal_2017_Table1
WholeBrain_O.n,WholeBrain,O.n,Whole brain_Non-neuronal cells,AvelinodeSouza_etal_2025_TABLE1
WholeBrain_O.n,WholeBrain,O.n,Whole brain_Non-neuronal cells,HerculanoHouzel_etal_2015_Table5
WholeBrain_O.n,WholeBrain,O.n,Whole brain_Non-neuronal cells,JardimMesseder_etal_2017_Table1
WholeBrain_O.n_SD,WholeBrain_O.n,SD,Whole brain Other cells SD,HerculanoHouzel_etal_2015_Table5
WholeBrain_O.p.N,WholeBrain,O.p.N,O/NBR,AvelinodeSouza_etal_2025_TABLE1
WholeBrain_O.p.N,WholeBrain,O.p.N,O/NBR,DosSantos_etal_2017_TableS1
WholeBrain_O.p.N,WholeBrain,O.p.N,O/NBR,JardimMesseder_etal_2017_Table1
WholeBrain_O.p.N,WholeBrain,O.p.N,Whole brain_Non-neuronal cells/neuron,AvelinodeSouza_etal_2025_TABLE1
WholeBrain_O.p.N,WholeBrain,O.p.N,Whole brain_Non-neuronal cells/neuron,DosSantos_etal_2017_TableS1
WholeBrain_O.p.N,WholeBrain,O.p.N,Whole brain_Non-neuronal cells/neuron,JardimMesseder_etal_2017_Table1
WholeBrain_O.p.mg,WholeBrain,O.p.mg,Whole brain_Non-neuronal cells/mg,AvelinodeSouza_etal_2025_TABLE1
WholeBrain_S.n,WholeBrain,S.n,Br_No. of samples,DosSantos_etal_2020_Table1
WholeBrain_Source,WholeBrain,Source,Whole brain Source,HerculanoHouzel_etal_2015_Table5
WholeBrain_n,WholeBrain,n,Whole brain n,HerculanoHouzel_etal_2015_Table5
WholeBrain_n,WholeBrain,n,Whole brain n,HerculanoHouzel_etal_2020_TABLE1
WholeBrain_n,WholeBrain,n,n,HerculanoHouzel_etal_2015_Table5
WholeBrain_n,WholeBrain,n,n,HerculanoHouzel_etal_2020_TABLE1
WholeBrain_p.C.N,WholeBrain,p.C.N,Whole brain % Neurons,HerculanoHouzel_etal_2015_Table5
WholeBrain_p.C.N_SD,WholeBrain_p.C.N,SD,Whole brain % Neurons SD,HerculanoHouzel_etal_2015_Table5
